Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Frank Darabont,USA,14 October 1994,The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton"
Olivier Nakache,Net,22 March 2012,The Intouchables,8.5,"François Cluzet,Omar Sy,Anne Le Ny"
Roman Polanski,USA,28 March 2003,The Pianist,8.5,"Adrien Brody,Thomas Kretschmann,Frank Finlay"
Quentin Tarantino,USA,25 December 2012,Django Unchained,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio"
Ridley Scott,USA,22 June 1979,Alien,8.4,"Sigourney Weaver,Tom Skerritt,John Hurt"
Stanley Kubrick,USA,29 January 1964,Dr. Strangelove,8.4,"Peter Sellers,George C. Scott,Sterling Hayden"
Hayao Miyazaki,USA,28 March 2003,Spirited Away,8.6,"Daveigh Chase,Suzanne Pleshette,Miyu Irino"
Charles Chaplin,USA,25 February 1936,Modern Times,8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman"
Steven Spielberg,USA,24 July 1998,Saving Private Ryan,8.6,"Tom Hanks,Matt Damon,Tom Sizemore"
Jonathan Demme,USA,14 February 1991,The Silence of the Lambs,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney"
Sergio Leone,USA,4 July 1969,Once Upon a Time in the West,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale"
Steven Spielberg,USA,4 February 1994,Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley"
James McTeigue,USA,17 March 2006,V for Vendetta,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves"
Charles Chaplin,USA,7 March 1931,City Lights,8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee"
Çagan Irmak,Tur,18 November 2005,My Father and My Son,8.3,"Çetin Tekindor,Fikret Kuskan,Hümeyra"
Michel Gondry,USA,19 March 2004,Eternal Sunshine of the Spotless Mind,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson"
Quentin Tarantino,Net,5 August 1993,Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen"
Hayao Miyazaki,USA,19 December 1997,Princess Mononoke,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka"
Darren Aronofsky,USA,15 December 2000,Requiem for a Dream,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly"
Chan-wook Park,Net,11 November 2004,Oldboy,8.4,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang"
Damien Chazelle,Net,13 November 2014,Whiplash,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist"
Richard Marquand,USA,25 May 1983,Star Wars: Episode VI - Return of the Jedi,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher"
Francis Ford Coppola,USA,15 August 1979,Apocalypse Now,8.4,"Martin Sheen,Marlon Brando,Robert Duvall"
Roger Allers,USA,24 June 1994,The Lion King,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones"
Fernando Meirelles,USA,13 February 2004,City of God,8.6,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
Tim Burton,USA,14 December 1990,Edward Scissorhands,7.9,"Johnny Depp,Winona Ryder,Dianne Wiest"
Brian De Palma,USA,3 June 1987,The Untouchables,7.9,"Kevin Costner,Sean Connery,Robert De Niro"
Je-kyu Kang,USA,24 September 2004,Tae Guk Gi: The Brotherhood of War,8.1,"Dong-Gun Jang,Won Bin,Eun-ju Lee"
David Lynch,USA,10 October 1980,The Elephant Man,8.1,"Anthony Hopkins,John Hurt,Anne Bancroft"
Sean Penn,USA,19 October 2007,Into the Wild,8.1,"Emile Hirsch,Vince Vaughn,Catherine Keener"
Ron Howard,USA,4 January 2002,A Beautiful Mind,8.2,"Russell Crowe,Ed Harris,Jennifer Connelly"
Lasse Hallström,Net,17 December 2009,Hachi: A Dog's Tale,8.1,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa"
M. Night Shyamalan,USA,6 August 1999,The Sixth Sense,8.1,"Bruce Willis,Haley Joel Osment,Toni Collette"
James Cameron,USA,18 July 1986,Aliens,8.3,"Sigourney Weaver,Michael Biehn,Carrie Henn"
Stanley Kubrick,USA,2 February 1972,A Clockwork Orange,8.3,"Malcolm McDowell,Patrick Magee,Michael Bates"
Sam Mendes,USA,1 October 1999,American Beauty,8.3,"Kevin Spacey,Annette Bening,Thora Birch"
Lee Unkrich,USA,18 June 2010,Toy Story 3,8.3,"Tom Hanks,Tim Allen,Joan Cusack"
Andrew Stanton,USA,27 June 2008,WALL·E,8.4,"Ben Burtt,Elissa Knight,Jeff Garlin"
Stanley Kubrick,USA,13 June 1980,The Shining,8.4,"Jack Nicholson,Shelley Duvall,Danny Lloyd"
Jean-Pierre Jeunet,USA,8 February 2002,Amélie,8.3,"Audrey Tautou,Mathieu Kassovitz,Rufus"
Stanley Kubrick,USA,25 December 1957,Paths of Glory,8.4,"Kirk Douglas,Ralph Meeker,Adolphe Menjou"
Charles Chaplin,USA,7 March 1941,The Great Dictator,8.4,"Charles Chaplin,Paulette Goddard,Jack Oakie"
Aamir Khan,Ind,21 December 2007,Like Stars on Earth,8.4,"Darsheel Safary,Aamir Khan,Tisca Chopra"
Rajkumar Hirani,Net,24 December 2009,3 Idiots,8.4,"Aamir Khan,Madhavan,Mona Singh"
Fritz Lang,Net,16 October 1931,M,8.3,"Peter Lorre,Ellen Widmann,Inge Landgut"
Wilson Yip,Chi,12 December 2008,Ip Man,8.0,"Donnie Yen,Simon Yam,Siu-Wong Fan"
Paul Greengrass,USA,3 August 2007,The Bourne Ultimatum,8.0,"Matt Damon,Edgar Ramírez,Joan Allen"
Giuseppe Tornatore,USA,23 February 1990,Cinema Paradiso,8.5,"Philippe Noiret,Enzo Cannavale,Antonella Attili"
George Roy Hill,USA,24 September 1969,Butch Cassidy and the Sundance Kid,8.0,"Paul Newman,Robert Redford,Katharine Ross"
Hayao Miyazaki,USA,25 November 1987,Nausicaä of the Valley of the Wind,8.1,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda"
Joss Whedon,USA,4 May 2012,The Avengers,8.0,"Robert Downey Jr.,Chris Evans,Scarlett Johansson"
José Padilha,Net,22 May 2008,Elite Squad,8.1,"Wagner Moura,André Ramiro,Caio Junqueira"
Jean-Pierre Melville,Fra,25 October 1967,Le Samouraï,8.1,"Alain Delon,François Périer,Nathalie Delon"
Hayao Miyazaki,Jap,2 August 1986,Castle in the Sky,8.0,"Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui"
Richard Kelly,Net,20 June 2002,Donnie Darko,8.0,"Jake Gyllenhaal,Jena Malone,Mary McDonnell"
Ethan Coen,USA,21 November 2007,No Country for Old Men,8.1,"Tommy Lee Jones,Javier Bardem,Josh Brolin"
Steve McQueen,USA,8 November 2013,12 Years a Slave,8.1,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender"
Frank Miller,USA,1 April 2005,Sin City,8.0,"Mickey Rourke,Clive Owen,Bruce Willis"
Alejandro G. Iñárritu,USA,13 April 2001,Amores Perros,8.1,"Emilio Echevarría,Gael García Bernal,Goya Toledo"
Bong Joon Ho,Sou,2 May 2003,Memories of Murder,8.1,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim"
Henri-Georges Clouzot,USA,16 February 1955,The Wages of Fear,8.1,"Yves Montand,Charles Vanel,Peter van Eyck"
James Gunn,USA,1 August 2014,Guardians of the Galaxy,8.0,"Chris Pratt,Vin Diesel,Bradley Cooper"
Akira Kurosawa,USA,22 November 1961,Throne of Blood,8.1,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada"
Ingmar Bergman,USA,16 March 1967,Persona,8.1,"Bibi Andersson,Liv Ullmann,Margaretha Krook"
Anurag Basu,Net,14 September 2012,Barfi!,8.1,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz"
Henri-Georges Clouzot,USA,21 November 1955,Diabolique,8.0,"Simone Signoret,Véra Clouzot,Paul Meurisse"
Farhan Akhtar,Ind,10 August 2001,Dil Chahta Hai,8.1,"Aamir Khan,Saif Ali Khan,Akshaye Khanna"
Juan José Campanella,USA,21 May 2010,The Secret in Their Eyes,8.2,"Ricardo Darín,Soledad Villamil,Pablo Rago"
Orson Welles,Net,23 January 1959,Touch of Evil,8.0,"Charlton Heston,Orson Welles,Janet Leigh"
Dean DeBlois,USA,26 March 2010,How to Train Your Dragon,8.1,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse"
John Carpenter,USA,25 June 1982,The Thing,8.1,"Kurt Russell,Wilford Brimley,Keith David"
David Fincher,USA,3 October 2014,Gone Girl,8.1,"Ben Affleck,Rosamund Pike,Neil Patrick Harris"
Danny Boyle,USA,9 August 1996,Trainspotting,8.1,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller"
Ron Howard,USA,27 September 2013,Rush,8.1,"Daniel Brühl,Chris Hemsworth,Olivia Wilde"
Ridley Scott,USA,25 June 1982,Blade Runner,8.1,"Harrison Ford,Rutger Hauer,Sean Young"
Michael Cimino,USA,23 February 1979,The Deer Hunter,8.1,"Robert De Niro,Christopher Walken,John Cazale"
Frank Capra,USA,22 February 1934,It Happened One Night,8.1,"Clark Gable,Claudette Colbert,Walter Connolly"
Henry Koster,USA,21 December 1950,Harvey,7.9,"James Stewart,Wallace Ford,William H. Lynn"
Joel Coen,USA,6 March 1998,The Big Lebowski,8.1,"Jeff Bridges,John Goodman,Julianne Moore"
Jae-young Kwak,Sou,27 July 2001,My Sassy Girl,8.0,"Tae-Hyun Cha,Ji-Hyun Jun,In-mun Kim"
Wim Wenders,USA,6 May 1988,Wings of Desire,8.0,"Bruno Ganz,Solveig Dommartin,Otto Sander"
Florian Henckel von Donnersmarck,USA,30 March 2007,The Lives of Others,8.4,"Ulrich Mühe,Martina Gedeck,Sebastian Koch"
Ingmar Bergman,USA,22 June 1959,Wild Strawberries,8.2,"Victor Sjöström,Bibi Andersson,Ingrid Thulin"
Neill Blomkamp,USA,14 August 2009,District 9,7.9,"Sharlto Copley,David James,Jason Cope"
Richard Schenkman,USA,10 June 2007,The Man from Earth,7.9,"David Lee Smith,Tony Todd,John Billingsley"
Sergei M. Eisenstein,Sov,24 December 1925,Battleship Potemkin,8.0,"Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov"
Vincent Paronnaud,USA,22 February 2008,Persepolis,8.0,"Chiara Mastroianni,Catherine Deneuve,Gena Rowlands"
Rob Reiner,USA,2 March 1984,This Is Spinal Tap,7.9,"Rob Reiner,Michael McKean,Christopher Guest"
Fatih Akin,Net,2 September 2004,Head-On,7.9,"Birol Ünel,Sibel Kekilli,Güven Kiraç"
Henry Selick,USA,29 October 1993,The Nightmare Before Christmas,8.0,"Danny Elfman,Chris Sarandon,Catherine O'Hara"
Tod Browning,USA,20 February 1932,Freaks,7.9,"Wallace Ford,Leila Hyams,Olga Baclanova"
Leo McCarey,USA,17 November 1933,Duck Soup,7.8,"Groucho Marx,Harpo Marx,Chico Marx"
Stephen Chbosky,USA,12 October 2012,The Perks of Being a Wallflower,8.0,"Logan Lerman,Emma Watson,Ezra Miller"
Brad Bird,USA,5 November 2004,The Incredibles,8.0,"Craig T. Nelson,Samuel L. Jackson,Holly Hunter"
Brad Bird,USA,6 August 1999,The Iron Giant,8.0,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston"
Peter Weir,USA,9 June 1989,Dead Poets Society,8.1,"Robin Williams,Robert Sean Leonard,Ethan Hawke"
Terry Gilliam,USA,18 December 1985,Brazil,7.9,"Jonathan Pryce,Kim Greist,Robert De Niro"
F.W. Murnau,USA,3 June 1929,Nosferatu,7.9,"Max Schreck,Alexander Granach,Gustav von Wangenheim"
James Whale,USA,21 November 1931,Frankenstein,7.8,"Colin Clive,Mae Clarke,Boris Karloff"
Quentin Tarantino,USA,16 April 2004,Kill Bill: Vol. 2,8.0,"Uma Thurman,David Carradine,Michael Madsen"
George A. Romero,USA,4 October 1968,Night of the Living Dead,7.9,"Duane Jones,Judith O'Dea,Karl Hardman"
Jean-Marc Vallée,USA,22 November 2013,Dallas Buyers Club,8.0,"Matthew McConaughey,Jennifer Garner,Jared Leto"
Kevin Costner,USA,21 November 1990,Dances with Wolves,8.0,"Kevin Costner,Mary McDonnell,Graham Greene"
Franklin J. Schaffner,USA,3 April 1968,Planet of the Apes,8.0,"Charlton Heston,Roddy McDowall,Kim Hunter"
David Lynch,USA,19 October 2001,Mulholland Drive,8.0,"Naomi Watts,Laura Harring,Justin Theroux"
Furkan Kopuz,Tur,18 November 2018,Evrensel Döngü: Yasam Agacina Yolculuk,7.5,"Furkan Kopuz,Adem Yildirim,Busenur Sahin"
Spike Jonze,USA,10 January 2014,Her,8.0,"Joaquin Phoenix,Amy Adams,Scarlett Johansson"
Martin Campbell,USA,17 November 2006,Casino Royale,8.0,"Daniel Craig,Eva Green,Judi Dench"
J.J. Abrams,USA,8 May 2009,Star Trek,7.9,"Chris Pine,Zachary Quinto,Simon Pegg"
George A. Romero,USA,24 May 1979,Dawn of the Dead,7.9,"David Emge,Ken Foree,Scott H. Reiniger"
Furkan Kopuz,Tur,19 May 2013,Sekiz Cinayeti,6.0,"Furkan Kopuz,Ömer Faruk Kopuz,Ercan Kopuz"
Christopher Nolan,USA,24 May 2002,Insomnia,7.2,"Al Pacino,Robin Williams,Hilary Swank"
Furkan Kopuz,Tur,26 December 2015,Bilincsizler,7.4,"Nuray Guneci,Furkan Kopuz,Metin Cemal Aydin"
Alper Caglar,Net,1 December 2016,The Mountain II,8.9,"Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe"
Peter Jackson,USA,13 December 2013,The Hobbit: The Desolation of Smaug,7.8,"Ian McKellen,Martin Freeman,Richard Armitage"
Christopher Nolan,Net,6 May 1999,Following,7.5,"Jeremy Theobald,Alex Haw,Lucy Russell"
Edward Zwick,USA,5 December 2003,The Last Samurai,7.7,"Tom Cruise,Ken Watanabe,Billy Connolly"
Faruk Aksoy,USA,25 April 2012,Conquest 1453,6.7,"Devrim Evin,Ibrahim Celikkol,Dilek Serbest"
Alejandro Amenábar,USA,10 August 2001,The Others,7.6,"Nicole Kidman,Christopher Eccleston,Fionnula Flanagan"
Peter Jackson,USA,17 December 2014,The Hobbit: The Battle of the Five Armies,7.4,"Ian McKellen,Martin Freeman,Richard Armitage"
James Cameron,USA,19 December 1997,Titanic,7.8,"Leonardo DiCaprio,Kate Winslet,Billy Zane"
George Lucas,USA,19 May 2005,Star Wars: Episode III - Revenge of the Sith,7.5,"Hayden Christensen,Natalie Portman,Ewan McGregor"
Zack Snyder,USA,9 March 2007,300,7.6,"Gerard Butler,Lena Headey,David Wenham"
Tim Burton,USA,7 October 1994,Ed Wood,7.8,"Johnny Depp,Martin Landau,Sarah Jessica Parker"
Alejandro G. Iñárritu,USA,14 November 2014,Birdman or (The Unexpected Virtue of Ignorance),7.7,"Michael Keaton,Zach Galifianakis,Edward Norton"
Ömer Faruk Sorak,Net,18 November 2004,G.O.R.A.,8.0,"Cem Yilmaz,Özge Özberk,Ozan Güven"
Nicolas Winding Refn,USA,16 September 2011,Drive,7.8,"Ryan Gosling,Carey Mulligan,Bryan Cranston"
Brad Bird,USA,29 June 2007,Ratatouille,8.0,"Brad Garrett,Lou Romano,Patton Oswalt"
Alfred Hitchcock,USA,25 September 1948,Rope,8.0,"James Stewart,John Dall,Farley Granger"
Doug Liman,USA,6 June 2014,Edge of Tomorrow,7.9,"Tom Cruise,Emily Blunt,Bill Paxton"
Gary Trousdale,USA,22 November 1991,Beauty and the Beast,8.0,"Paige O'Hara,Robby Benson,Jesse Corti"
Ron Clements,USA,25 November 1992,Aladdin,8.0,"Scott Weinger,Robin Williams,Linda Larkin"
Danny Boyle,USA,25 December 2008,Slumdog Millionaire,8.0,"Dev Patel,Freida Pinto,Saurabh Shukla"
Ang Lee,USA,21 November 2012,Life of Pi,7.9,"Suraj Sharma,Irrfan Khan,Adil Hussain"
Paul Thomas Anderson,USA,7 January 2000,Magnolia,8.0,"Tom Cruise,Jason Robards,Julianne Moore"
Federico Fellini,USA,24 June 1963,8½,8.0,"Marcello Mastroianni,Anouk Aimée,Claudia Cardinale"
Terry Jones,USA,17 August 1979,Monty Python's Life of Brian,8.1,"Graham Chapman,John Cleese,Michael Palin"
Woody Allen,USA,20 April 1977,Annie Hall,8.0,"Woody Allen,Diane Keaton,Tony Roberts"
Richard Linklater,USA,30 July 2004,Before Sunset,8.0,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
Richard Linklater,USA,27 January 1995,Before Sunrise,8.1,"Ethan Hawke,Julie Delpy,Andrea Eckert"
Pete Docter,USA,2 November 2001,"Monsters, Inc.",8.0,"Billy Crystal,John Goodman,Mary Gibbs"
Kar-Wai Wong,USA,9 March 2001,In the Mood for Love,8.1,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu"
Stanley Kramer,Net,21 December 1961,Judgment at Nuremberg,8.2,"Spencer Tracy,Burt Lancaster,Richard Widmark"
Akira Kurosawa,USA,25 March 1956,Ikiru,8.3,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori"
Alejandro Amenábar,USA,4 March 2005,The Sea Inside,8.0,"Javier Bardem,Belén Rueda,Lola Dueñas"
Terry Gilliam,Net,22 January 1976,Monty Python and the Holy Grail,8.2,"Graham Chapman,John Cleese,Eric Idle"
Clint Eastwood,USA,15 October 2003,Mystic River,7.9,"Sean Penn,Tim Robbins,Kevin Bacon"
Martin Brest,USA,8 January 1993,Scent of a Woman,8.0,"Al Pacino,Chris O'Donnell,James Rebhorn"
Michel Hazanavicius,USA,20 January 2012,The Artist,7.9,"Jean Dujardin,Bérénice Bejo,John Goodman"
Edgar Wright,USA,24 September 2004,Shaun of the Dead,7.9,"Simon Pegg,Nick Frost,Kate Ashfield"
William Friedkin,USA,26 December 1973,The Exorcist,8.0,"Ellen Burstyn,Max von Sydow,Linda Blair"
Darren Aronofsky,USA,17 December 2010,Black Swan,8.0,"Natalie Portman,Mila Kunis,Vincent Cassel"
William Wyler,Net,6 October 1960,Ben-Hur,8.1,"Charlton Heston,Jack Hawkins,Stephen Boyd"
Steven Spielberg,USA,11 June 1993,Jurassic Park,8.1,"Sam Neill,Laura Dern,Jeff Goldblum"
Paul Thomas Anderson,USA,25 January 2008,There Will Be Blood,8.2,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds"
Tom Hooper,USA,25 December 2010,The King's Speech,8.0,"Colin Firth,Geoffrey Rush,Helena Bonham Carter"
Stanley Kubrick,USA,6 June 1956,The Killing,8.0,"Sterling Hayden,Coleen Gray,Vince Edwards"
Sidney Lumet,USA,27 November 1976,Network,8.1,"Faye Dunaway,William Holden,Peter Finch"
John Ford,USA,15 March 1940,The Grapes of Wrath,8.0,"Henry Fonda,Jane Darwell,John Carradine"
